,event_id,subject_id,timestamp,session_index,plane,setup,task,block,trial_index,stim_number,stim_type,stim_country_ids,stim_sexes,stim_talker_ids,speaker_ids,stim_level,resp_number,is_correct,speaker_distance_mean,speaker_distance_st_dev,reaction_time,spectral_coverage
0,,sub_108,2024-07-01 10:35:26,3,distance,cathedral,numerosity_judgement,1,0,3,countries_forward,"['_Cuba_', '_Mali_', '_Sudan_']","['m', 'f', 'f']","['p307', 'p268', 'p248']","[8, 9, 2]","[92.0152836843556, 92.00610777531934, 87.57049330475357]",3.0,True,8.333333333333334,3.7859388972001824,2.5623228549957275,0.8737373737373737
0,,sub_108,2024-07-01 10:35:31,3,distance,cathedral,numerosity_judgement,1,1,5,countries_forward,"['_Syria_', '_Britain_', '_Oman_', '_Belgium_', '_Cuba_']","['f', 'f', 'm', 'm', 'm']","['p245', 'p248', 'p229', 'p318', 'p256']","[4, 5, 0, 3, 1]","[89.31368318402099, 90.34149293193902, 84.40078082039426, 89.14911522239515, 86.2038576498559]",3.0,False,4.6,2.073644135332772,2.7498559951782227,0.907184201566224
0,,sub_108,2024-07-01 10:35:34,3,distance,cathedral,numerosity_judgement,1,2,2,countries_forward,"['_Mali_', '_Sudan_']","['m', 'm']","['p307', 'p229']","[8, 7]","[92.0152836843556, 91.73820004985969]",2.0,True,9.5,0.7071067811865476,1.5623903274536133,0.925445465894904
0,,sub_108,2024-07-01 10:35:38,3,distance,cathedral,numerosity_judgement,1,3,4,countries_forward,"['_Sudan_', '_Yemen_', '_Mali_', '_Syria_']","['m', 'f', 'm', 'm']","['p318', 'p268', 'p307', 'p229']","[4, 8, 1, 2]","[89.31368318402099, 92.0152836843556, 86.2038576498559, 87.57049330475357]",3.0,False,5.75,3.095695936834452,1.937366247177124,0.9083985926682556
0,,sub_108,2024-07-01 10:35:42,3,distance,cathedral,numerosity_judgement,1,4,6,countries_forward,"['_Sudan_', '_Belgium_', '_Mali_', '_Britain_', '_Oman_', '_Japan_']","['m', 'f', 'm', 'm', 'm', 'f']","['p256', 'p248', 'p307', 'p229', 'p318', 'p245']","[3, 8, 9, 4, 0, 1]","[89.14911522239515, 92.0152836843556, 92.00610777531934, 89.31368318402099, 84.40078082039426, 86.2038576498559]",4.0,False,6.166666666666667,3.65604522218567,2.1404097080230713,0.8967540574282147
0,,sub_108,2024-07-01 10:35:45,3,distance,cathedral,numerosity_judgement,1,5,2,countries_forward,"['_Oman_', '_Yemen_']","['m', 'm']","['p229', 'p256']","[3, 6]","[89.14911522239515, 91.58892582949886]",2.0,True,6.5,2.1213203435596424,1.687448501586914,0.5410623084780388
0,,sub_108,2024-07-01 10:35:49,3,distance,cathedral,numerosity_judgement,1,6,5,countries_forward,"['_Cuba_', '_Peru_', '_Oman_', '_Yemen_', '_Congo_']","['f', 'm', 'm', 'f', 'm']","['p268', 'p307', 'p318', 'p284', 'p229']","[10, 3, 1, 9, 5]","[93.00003341222717, 89.14911522239515, 86.2038576498559, 92.00610777531934, 90.34149293193902]",4.0,False,7.6,3.847076812334269,1.6248230934143066,0.7120304165247986
0,,sub_108,2024-07-01 10:35:53,3,distance,cathedral,numerosity_judgement,1,7,4,countries_forward,"['_Oman_', '_Mali_', '_Sudan_', '_Cuba_']","['f', 'm', 'm', 'f']","['p268', 'p256', 'p229', 'p248']","[0, 9, 10, 1]","[84.40078082039426, 92.00610777531934, 93.00003341222717, 86.2038576498559]",3.0,False,7.0,5.228129047119374,2.31227445602417,0.9404040404040404
0,,sub_108,2024-07-01 10:35:57,3,distance,cathedral,numerosity_judgement,1,8,3,countries_forward,"['_Sudan_', '_Togo_', '_Yemen_']","['f', 'm', 'f']","['p284', 'p307', 'p245']","[1, 10, 9]","[86.2038576498559, 93.00003341222717, 92.00610777531934]",4.0,False,8.666666666666666,4.932882862316248,1.7655704021453857,0.8432073544433095
0,,sub_108,2024-07-01 10:36:00,3,distance,cathedral,numerosity_judgement,1,9,6,countries_forward,"['_Togo_', '_Congo_', '_Peru_', '_Yemen_', '_Britain_', '_Oman_']","['m', 'f', 'f', 'm', 'm', 'f']","['p229', 'p245', 'p248', 'p307', 'p256', 'p268']","[0, 6, 1, 10, 7, 3]","[84.40078082039426, 91.58892582949886, 86.2038576498559, 93.00003341222717, 91.73820004985969, 89.14911522239515]",5.0,False,6.5,3.8340579025361627,1.8748421669006348,0.7283282260810351
0,,sub_108,2024-07-01 10:36:05,3,distance,cathedral,numerosity_judgement,1,10,3,countries_forward,"['_Mali_', '_Togo_', '_Yemen_']","['m', 'f', 'f']","['p307', 'p268', 'p248']","[9, 3, 5]","[92.00610777531934, 89.14911522239515, 90.34149293193902]",2.0,False,7.666666666666667,3.0550504633038935,2.687267303466797,0.6935308137555328
0,,sub_108,2024-07-01 10:36:08,3,distance,cathedral,numerosity_judgement,1,11,5,countries_forward,"['_Japan_', '_Tonga_', '_Togo_', '_Syria_', '_Cuba_']","['m', 'f', 'm', 'm', 'f']","['p229', 'p284', 'p307', 'p256', 'p268']","[3, 10, 6, 4, 8]","[89.14911522239515, 93.00003341222717, 91.58892582949886, 89.31368318402099, 92.0152836843556]",3.0,False,8.2,2.8635642126552705,1.6873164176940918,0.8480308705027806
0,,sub_108,2024-07-01 10:36:12,3,distance,cathedral,numerosity_judgement,1,12,4,countries_forward,"['_Togo_', '_Tonga_', '_Mali_', '_Congo_']","['m', 'f', 'm', 'm']","['p307', 'p248', 'p256', 'p318']","[5, 7, 0, 8]","[90.34149293193902, 91.73820004985969, 84.40078082039426, 92.0152836843556]",3.0,False,7.0,3.559026084010437,1.9373483657836914,0.802882760186131
0,,sub_108,2024-07-01 10:36:17,3,distance,cathedral,numerosity_judgement,1,13,6,countries_forward,"['_Congo_', '_Oman_', '_Tonga_', '_Togo_', '_Yemen_', '_Peru_']","['f', 'm', 'm', 'f', 'f', 'm']","['p284', 'p318', 'p229', 'p268', 'p248', 'p307']","[0, 9, 1, 4, 2, 5]","[84.40078082039426, 92.00610777531934, 86.2038576498559, 89.31368318402099, 87.57049330475357, 90.34149293193902]",3.0,False,5.5,3.271085446759225,2.452955484390259,0.8089320167971853
0,,sub_108,2024-07-01 10:36:20,3,distance,cathedral,numerosity_judgement,1,14,2,countries_forward,"['_Peru_', '_Japan_']","['m', 'm']","['p256', 'p229']","[7, 6]","[91.73820004985969, 91.58892582949886]",2.0,True,8.5,0.7071067811865476,1.499833583831787,0.8573374191351719
0,,sub_108,2024-07-01 10:36:24,3,distance,cathedral,numerosity_judgement,1,15,3,countries_forward,"['_Mali_', '_Yemen_', '_Oman_']","['m', 'f', 'm']","['p318', 'p245', 'p229']","[10, 6, 8]","[93.00003341222717, 91.58892582949886, 92.0152836843556]",3.0,True,10.0,2.0,2.2811193466186523,0.7818635796163886
0,,sub_108,2024-07-01 10:36:28,3,distance,cathedral,numerosity_judgement,1,16,4,countries_forward,"['_Cuba_', '_Tonga_', '_Syria_', '_Oman_']","['f', 'm', 'm', 'f']","['p248', 'p307', 'p256', 'p268']","[4, 2, 9, 6]","[89.31368318402099, 87.57049330475357, 92.00610777531934, 91.58892582949886]",4.0,True,7.25,2.9860788111948193,2.0623278617858887,0.8351946430598116
0,,sub_108,2024-07-01 10:36:30,3,distance,cathedral,numerosity_judgement,1,17,2,countries_forward,"['_Tonga_', '_Oman_']","['f', 'm']","['p245', 'p229']","[3, 6]","[89.14911522239515, 91.58892582949886]",2.0,True,6.5,2.1213203435596424,1.2499139308929443,0.626682555896039
0,,sub_108,2024-07-01 10:36:34,3,distance,cathedral,numerosity_judgement,1,18,5,countries_forward,"['_Togo_', '_Tonga_', '_Yemen_', '_Belgium_', '_Britain_']","['f', 'f', 'm', 'm', 'm']","['p284', 'p268', 'p307', 'p256', 'p318']","[1, 3, 10, 8, 2]","[86.2038576498559, 89.14911522239515, 93.00003341222717, 92.0152836843556, 87.57049330475357]",3.0,False,6.8,3.96232255123179,2.1248528957366943,0.86916354556804
0,,sub_108,2024-07-01 10:36:38,3,distance,cathedral,numerosity_judgement,1,19,6,countries_forward,"['_Congo_', '_Togo_', '_Tonga_', '_Cuba_', '_Britain_', '_Yemen_']","['m', 'f', 'f', 'm', 'f', 'm']","['p318', 'p268', 'p248', 'p307', 'p245', 'p256']","[9, 10, 8, 2, 6, 7]","[92.00610777531934, 93.00003341222717, 92.0152836843556, 87.57049330475357, 91.58892582949886, 91.73820004985969]",4.0,False,9.0,2.8284271247461903,1.9373669624328613,0.8016910679832028
0,,sub_108,2024-07-01 10:36:42,3,distance,cathedral,numerosity_judgement,1,20,5,countries_forward,"['_Syria_', '_Congo_', '_Belgium_', '_Britain_', '_Cuba_']","['m', 'f', 'm', 'm', 'f']","['p256', 'p245', 'p318', 'p307', 'p284']","[5, 7, 9, 8, 10]","[90.34149293193902, 91.73820004985969, 92.00610777531934, 92.0152836843556, 93.00003341222717]",3.0,False,9.8,1.9235384061671346,1.9061195850372314,0.8745999319033027
0,,sub_108,2024-07-01 10:36:48,3,distance,cathedral,numerosity_judgement,1,21,3,countries_forward,"['_Cuba_', '_Mali_', '_Japan_']","['m', 'm', 'm']","['p229', 'p256', 'p318']","[8, 4, 7]","[92.0152836843556, 89.31368318402099, 91.73820004985969]",2.0,False,8.333333333333334,2.0816659994661326,2.2185347080230713,0.8135739416638293
0,,sub_108,2024-07-01 10:36:52,3,distance,cathedral,numerosity_judgement,1,22,4,countries_forward,"['_Congo_', '_Oman_', '_Peru_', '_Yemen_']","['m', 'm', 'f', 'f']","['p307', 'p229', 'p284', 'p248']","[3, 10, 2, 6]","[89.14911522239515, 93.00003341222717, 87.57049330475357, 91.58892582949886]",3.0,False,7.25,3.593976442141304,2.4373316764831543,0.672829417773238
0,,sub_108,2024-07-01 10:36:55,3,distance,cathedral,numerosity_judgement,1,23,2,countries_forward,"['_Cuba_', '_Peru_']","['f', 'm']","['p245', 'p307']","[5, 3]","[90.34149293193902, 89.14911522239515]",2.0,True,6.0,1.4142135623730951,1.3749046325683594,0.6631937351038475
0,,sub_108,2024-07-01 10:36:58,3,distance,cathedral,numerosity_judgement,1,24,6,countries_forward,"['_Sudan_', '_Oman_', '_Syria_', '_Britain_', '_Mali_', '_Tonga_']","['m', 'f', 'f', 'm', 'm', 'f']","['p229', 'p284', 'p248', 'p256', 'p318', 'p245']","[2, 9, 4, 6, 5, 8]","[87.57049330475357, 92.00610777531934, 89.31368318402099, 91.58892582949886, 90.34149293193902, 92.0152836843556]",5.0,False,7.666666666666667,2.581988897471611,1.374925136566162,0.9578821927136534
0,,sub_108,2024-07-01 10:37:01,3,distance,cathedral,numerosity_judgement,1,25,2,countries_forward,"['_Tonga_', '_Oman_']","['f', 'm']","['p248', 'p307']","[0, 5]","[84.40078082039426, 90.34149293193902]",2.0,True,4.5,3.5355339059327378,1.3124020099639893,0.6384632845307002
0,,sub_108,2024-07-01 10:37:05,3,distance,cathedral,numerosity_judgement,1,26,4,countries_forward,"['_Mali_', '_Sudan_', '_Tonga_', '_Togo_']","['f', 'f', 'f', 'f']","['p284', 'p268', 'p248', 'p245']","[6, 9, 4, 2]","[91.58892582949886, 92.00610777531934, 89.31368318402099, 87.57049330475357]",3.0,False,7.25,2.9860788111948193,2.1872875690460205,0.9554874588582454
